seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
4,10,ours-augtime,152677#1,-153365#1,True,261162.25,87340.26827906106,264.25,818573.44,0.75,2,38.57,2990.17,0,236,45752.4
4,11,ours-augtime,152789#0,153401,True,1216804.85,556592.053682925,1666.75,3814500.75,1501.25,5,1521.42,2186.17,0,236,56291.3
4,12,ours-augtime,-153476#17,-152284,True,420224.07,76789.72114611506,495.0,1317125.34,24.75,3,74.62,5472.4,0,247,57073.2
4,13,ours-augtime,-152939#5,152693#1,True,93055.96,168387.4563451134,68.25,291685.73,0.0,0,17.55,552.63,0,257,50147.4
4,14,ours-augtime,152398#3,-153476#16,True,204821.09,93420.24748343194,201.25,641978.98,6.25,1,26.4,2192.47,0,254,51087.1
4,15,ours-augtime,-152930,-153355#4,True,331187.28,40694.94697288989,673.0,1037992.43,0.0,0,29.56,8138.29,0,245,46867.7
4,16,ours-augtime,152385,-152742,True,914168.62,117112.52001691029,779.25,2865364.59,26.0,3,73.38,7805.9,0,246,57031.4
4,17,ours-augtime,-152725#0,152483#0,True,640465.64,98237.10386696096,501.25,2007452.4,0.0,0,52.19,6519.59,0,241,73386.3
4,18,ours-augtime,152413#1,153427#10,True,258238.08,97968.86096694891,242.75,809413.85,0.0,0,27.49,2635.92,0,236,61616.8
4,19,ours-augtime,-153451#0,-152492,True,445179.18,50226.79609810253,625.25,1395267.24,0.0,0,25.44,8863.38,0,239,54098.8
4,20,ours-augtime,152817#3,153056,True,576621.31,107358.67755977497,456.75,1807342.52,11.0,2,73.15,5370.98,0,241,53304.7
4,21,ours-augtime,-152830#0,152556,True,370972.24,67939.52746445728,406.25,1162722.76,0.0,0,29.39,5460.33,0,235,58826.1
4,22,ours-augtime,-152657#2,153332#2,True,812635.55,122184.84950089236,634.25,2547130.53,23.25,1,92.32,6650.87,0,246,54810.5
4,23,ours-augtime,-153553,153475#2,True,392940.4,94890.21975368269,302.75,1231604.3,0.0,0,48.49,4141.0,0,272,57333.7
4,24,ours-augtime,153454#0,152489#3,True,558154.27,102855.81315637687,450.75,1749465.53,13.25,1,40.81,5426.57,0,273,72268.4
6,0,ours-augtime,153487#1,-152776,True,336611.89,49202.62550903771,543.75,1055030.65,4.5,1,64.59,6841.34,0,225,37607.6
6,1,ours-augtime,-152401,-153473#0,True,150090.89,82545.98601967805,187.25,470436.9,11.5,1,26.27,1818.27,0,225,44069.4
6,2,ours-augtime,-153413#12,-153370#1,True,582288.07,92666.43378900965,497.5,1825066.04,0.0,0,40.04,6283.7,0,232,37587.2
6,3,ours-augtime,-152883#0,-152743#1,True,859527.93,116728.81091226137,567.5,2694067.24,7.5,2,72.96,7363.46,0,238,56081.7
6,4,ours-augtime,153327#1,-152682#1,True,195511.49,37879.03252368027,448.0,612768.83,0.0,0,30.98,5161.47,0,256,61013.3
6,5,ours-augtime,153405#1,152690,True,254173.48,140258.40700151198,258.5,796705.64,11.0,2,46.56,1812.18,0,241,59187.7
6,6,ours-augtime,-152443,-152427,True,624171.39,99414.72749687025,524.0,1956368.35,1.25,1,37.41,6278.46,0,241,63556.3
6,7,ours-augtime,-152712,-153363#0,True,251455.15,67077.42355411033,302.75,788124.78,17.5,1,48.03,3748.73,0,232,69105.3
6,8,ours-augtime,-153383#2,152960#6,True,253683.35,61687.87098437154,393.0,795133.1,14.0,2,64.98,4112.37,0,221,67171.5
6,9,ours-augtime,153572#0,153327#0,True,411914.11,87303.04713016165,406.25,1291066.59,0.0,0,30.41,4718.21,0,226,42915.6
6,10,ours-augtime,152677#1,-153365#1,True,191661.39,89255.25999608818,196.0,600734.76,0.0,0,23.67,2147.34,0,237,48934.9
6,11,ours-augtime,152789#0,153401,True,1219721.91,557926.3780950245,1676.5,3823646.49,1502.5,7,1523.39,2186.17,0,241,54329.4
6,12,ours-augtime,-153476#17,-152284,True,416747.83,76095.67014751773,486.75,1306227.21,7.5,2,59.99,5476.63,0,239,57994.6
6,13,ours-augtime,-152939#5,152693#1,True,100442.74,181754.04882109188,79.75,314842.42,5.0,1,26.2,552.63,0,261,46949.2
6,14,ours-augtime,152398#3,-153476#16,True,199293.91,90899.26430008166,208.25,624655.7,0.0,0,18.07,2192.47,0,256,53165.3
6,15,ours-augtime,-152930,-153355#4,True,328027.21,40306.65041427622,629.25,1028082.45,0.0,0,30.49,8138.29,0,257,48928.1
6,16,ours-augtime,152385,-152742,True,878729.43,112489.60590912293,536.5,2754236.4,9.0,2,78.42,7811.65,0,243,59102.8
